name,country,latitude,longitude,timezone,population,region
Rūdbār,AF,30.15,62.6,Asia/Kabul,11034,19
Rustāq,AF,37.12604,69.83045,Asia/Kabul,25636,26
Qarqīn,AF,37.41853,66.04358,Asia/Kabul,15018,31
Qarchī Gak,AF,37.03999,66.78891,Asia/Kabul,8942,30
Qarāwul,AF,37.21959,68.7802,Asia/Kabul,24544,24
Qarah Bāgh,AF,34.94023,61.77589,Asia/Kabul,12412,11
Qala i Naw,AF,34.98735,63.12891,Asia/Kabul,9000,02
Qal‘ah-ye Shahr,AF,35.54729,65.5676,Asia/Kabul,7756,33
Qalāt,AF,32.10575,66.90833,Asia/Kabul,12191,28
Pārūn,AF,35.42064,70.92261,Asia/Kabul,1000,38
Pul-e Khumrī,AF,35.94458,68.71512,Asia/Kabul,56369,03
Pul-e ‘Alam,AF,33.99529,69.02274,Asia/Kabul,13247,17
Panjāb,AF,34.38795,67.02327,Asia/Kabul,13471,05
Paghmān,AF,34.58787,68.95091,Asia/Kabul,49157,13
Uruzgān,AF,32.92775,66.63253,Asia/Kabul,13388,39
Nīlī,AF,33.72178,66.13023,Asia/Kabul,30058,41
Nahrīn,AF,36.0649,69.13343,Asia/Kabul,22363,03
Mīr Bachah Kōṯ,AF,34.74999,69.11899,Asia/Kabul,5405,13
Mīrābād,AF,30.43624,61.8383,Asia/Kabul,14160,19
Maymana,AF,35.92139,64.78361,Asia/Kabul,75900,07
Mehtar Lām,AF,34.67139,70.20944,Asia/Kabul,17345,35
Mazār-e Sharīf,AF,36.70904,67.11087,Asia/Kabul,523300,30
Lashkar Gāh,AF,31.59382,64.37161,Asia/Kabul,43934,10
Larkird,AF,35.48936,66.66409,Asia/Kabul,11635,33
Kushk,AF,33.29565,61.95221,Asia/Kabul,16952,11
Kunduz,AF,36.72895,68.857,Asia/Kabul,161902,24
Khōst,AF,33.33951,69.92041,Asia/Kabul,96123,37
Khulm,AF,36.69736,67.69826,Asia/Kabul,64933,30
Khāsh,AF,31.52919,62.79055,Asia/Kabul,15133,19
Khān Neshīn,AF,30.5488,63.7888,Asia/Kabul,25600,10
Khandūd,AF,36.95127,72.318,Asia/Kabul,5521,01
Khanabad,AF,36.68304,69.11279,Asia/Kabul,71531,24
Karukh,AF,34.48108,62.5863,Asia/Kabul,17484,11
Kandahār,AF,31.61332,65.71013,Asia/Kabul,523300,23
Kabul,AF,34.52813,69.17233,Asia/Kabul,4434550,13
Jurm,AF,36.86477,70.83421,Asia/Kabul,12106,01
Jalālābād,AF,34.42647,70.45153,Asia/Kabul,271900,18
Jabal os Saraj,AF,35.11833,69.23778,Asia/Kabul,15032,40
Herāt,AF,34.34817,62.19967,Asia/Kabul,574300,11
Ghormach,AF,35.73062,63.78264,Asia/Kabul,30000,02
Ghazni,AF,33.55391,68.42096,Asia/Kabul,141000,08
Gereshk,AF,31.82089,64.57005,Asia/Kabul,43588,10
Gardez,AF,33.59744,69.22592,Asia/Kabul,103601,36
Fayzabad,AF,37.11664,70.58002,Asia/Kabul,44421,01
Farkhār,AF,36.57288,69.85783,Asia/Kabul,10480,26
Farah,AF,32.37451,62.11638,Asia/Kabul,43561,06
Eslam Qaleh,AF,34.66667,61.06667,Asia/Kabul,18086,11
Imām Şāḩib,AF,37.18897,68.93644,Asia/Kabul,9659,24
Dasht-e Archī,AF,37.13333,69.16667,Asia/Kabul,8263,24
Darzāb,AF,35.97744,65.37828,Asia/Kabul,9642,31
Markaz-e Ḩukūmat-e Darwēshān,AF,31.13231,64.1934,Asia/Kabul,9012,10
Chīras,AF,35.41674,65.98234,Asia/Kabul,12779,33
Charikar,AF,35.01361,69.17139,Asia/Kabul,53676,40
Chahār Burj,AF,34.24475,62.19165,Asia/Kabul,11935,11
Fayrōz Kōh,AF,34.51952,65.25093,Asia/Kabul,15000,09
Muhmand Dara,AF,34.24749,70.87218,Asia/Kabul,6835,18
Baraki Barak,AF,33.96744,68.9492,Asia/Kabul,22305,17
Bāmyān,AF,34.82156,67.82734,Asia/Kabul,61863,05
Balkh,AF,36.75635,66.8972,Asia/Kabul,114883,30
Baghlān,AF,36.13068,68.70829,Asia/Kabul,108449,03
Ḩukūmatī Azrah,AF,34.17355,69.64573,Asia/Kabul,12526,17
Ārt Khwājah,AF,37.08571,69.47958,Asia/Kabul,18623,26
Āsmār,AF,35.03333,71.35809,Asia/Kabul,15708,34
Ashkāsham,AF,36.68333,71.53333,Asia/Kabul,12120,01
Asadābād,AF,34.87311,71.14697,Asia/Kabul,48400,34
Andkhōy,AF,36.95293,65.12376,Asia/Kabul,29208,07
Anār Darah,AF,32.7587,61.65397,Asia/Kabul,10023,06
‘Alāqahdārī Dīshū,AF,30.43206,63.29802,Asia/Kabul,9196,10
Bāzārak,AF,35.31292,69.51519,Asia/Kabul,65000,42
